Country/Region,Causal Paper Count
Global / Multi-country,2537
China,700
European Union,429
United States,363
India,170
United Kingdom,138
Indonesia,135
Malaysia,114
Brazil,101
Germany,98
Viet Nam,59
Australia,58
OECD,55
Pakistan,55
Japan,48
Russia,48
Canada,46
Turkey,46
Bangladesh,43
France,41
"Korea, Rep.",41
Mexico,38
South Africa,36
"Taipei,China",33
Thailand,28
New Zealand,28
ASEAN,18
Singapore,16
Saudi Arabia,16
United Arab Emirates,15
Philippines,14
BRICS,12
"Hong Kong, China",11
Egypt,11
Kazakhstan,9
G7,8
G20,7
Mongolia,7
Uzbekistan,3
