Country/Region,Econometrics Paper Count
Global / Multi-country,2549
China,702
European Union,431
United States,366
India,170
United Kingdom,139
Indonesia,137
Malaysia,114
Brazil,101
Germany,100
Viet Nam,60
Australia,58
OECD,55
Pakistan,55
Japan,48
Russia,48
Canada,47
Turkey,46
Bangladesh,43
France,42
"Korea, Rep.",41
Mexico,38
South Africa,37
"Taipei,China",33
Thailand,28
New Zealand,28
ASEAN,18
Singapore,16
Saudi Arabia,16
United Arab Emirates,15
Philippines,14
BRICS,12
"Hong Kong, China",11
Egypt,11
Kazakhstan,10
G7,8
G20,7
Mongolia,7
Uzbekistan,3
